,memberStateCode,memberStateName,beginDate,endDate,weekNumber,price,unit,marketingYear,stage,type,variety
28,IT,Italy,21/05/2012,27/05/2012,39,660.0,Tonne,2011/2012,Milled,Japonica,Ariete
29,IT,Italy,16/01/2012,22/01/2012,21,770.0,Tonne,2011/2012,Milled,Japonica,Ariete
30,IT,Italy,26/05/2014,01/06/2014,39,790.0,Tonne,2013/2014,Milled,Japonica,Ariete
31,IT,Italy,01/09/2014,07/09/2014,1,790.0,Tonne,2014/2015,Milled,Japonica,Ariete
32,IT,Italy,25/08/2014,31/08/2014,52,790.0,Tonne,2013/2014,Milled,Japonica,Ariete
33,IT,Italy,28/07/2014,03/08/2014,48,750.0,Tonne,2013/2014,Milled,Japonica,Ariete
34,IT,Italy,03/03/2014,09/03/2014,27,780.0,Tonne,2013/2014,Milled,Japonica,Ariete
35,IT,Italy,16/12/2013,22/12/2013,16,630.0,Tonne,2013/2014,Milled,Japonica,Ariete
36,IT,Italy,25/11/2013,01/12/2013,13,630.0,Tonne,2013/2014,Milled,Japonica,Ariete
37,IT,Italy,17/02/2014,23/02/2014,25,740.0,Tonne,2013/2014,Milled,Japonica,Ariete
38,IT,Italy,10/02/2014,16/02/2014,24,740.0,Tonne,2013/2014,Milled,Japonica,Ariete
39,IT,Italy,15/07/2013,21/07/2013,46,660.0,Tonne,2012/2013,Milled,Japonica,Ariete
40,IT,Italy,08/07/2013,14/07/2013,45,660.0,Tonne,2012/2013,Milled,Japonica,Ariete
41,IT,Italy,10/06/2013,16/06/2013,41,600.0,Tonne,2012/2013,Milled,Japonica,Ariete
178,IT,Italy,20/01/2020,26/01/2020,21,650.0,Tonne,2019/2020,Milled non parboiled,Indica,Long B
179,IT,Italy,16/12/2019,22/12/2019,16,650.0,Tonne,2019/2020,Milled non parboiled,Indica,Long B
180,IT,Italy,19/10/2020,25/10/2020,8,680.0,Tonne,2020/2021,Milled non parboiled,Indica,Long B
181,IT,Italy,31/08/2020,06/09/2020,1,720.0,Tonne,2020/2021,Milled non parboiled,Indica,Long B
182,IT,Italy,28/06/2021,04/07/2021,44,740.0,Tonne,2020/2021,Milled non parboiled,Indica,Long B
183,IT,Italy,04/04/2022,10/04/2022,32,880.0,Tonne,2021/2022,Milled non parboiled,Indica,Long B
184,IT,Italy,28/03/2022,03/04/2022,31,880.0,Tonne,2021/2022,Milled non parboiled,Indica,Long B
185,IT,Italy,28/10/2019,03/11/2019,9,630.0,Tonne,2019/2020,Milled non parboiled,Indica,Long B
186,IT,Italy,09/12/2019,15/12/2019,15,650.0,Tonne,2019/2020,Milled non parboiled,Indica,Long B
187,IT,Italy,19/08/2019,25/08/2019,51,560.0,Tonne,2018/2019,Milled non parboiled,Indica,Long B
188,IT,Italy,03/06/2019,09/06/2019,40,570.0,Tonne,2018/2019,Milled non parboiled,Indica,Long B
219,IT,Italy,27/02/2017,05/03/2017,27,550.0,Tonne,2016/2017,Milled non parboiled,Indica,Thaibonnet
220,IT,Italy,15/01/2018,21/01/2018,20,520.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
221,IT,Italy,08/01/2018,14/01/2018,19,520.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
222,IT,Italy,11/09/2017,17/09/2017,2,560.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
223,IT,Italy,03/07/2017,09/07/2017,45,560.0,Tonne,2016/2017,Milled non parboiled,Indica,Thaibonnet
224,IT,Italy,09/04/2018,15/04/2018,32,540.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
225,IT,Italy,16/07/2018,22/07/2018,46,640.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
226,IT,Italy,09/07/2018,15/07/2018,45,630.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
227,IT,Italy,25/06/2018,01/07/2018,43,620.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
228,IT,Italy,18/06/2018,24/06/2018,42,580.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
229,IT,Italy,04/06/2018,10/06/2018,40,580.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
230,IT,Italy,21/05/2018,27/05/2018,38,580.0,Tonne,2017/2018,Milled non parboiled,Indica,Thaibonnet
231,IT,Italy,14/12/2015,20/12/2015,16,610.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
232,IT,Italy,07/12/2015,13/12/2015,15,610.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
233,IT,Italy,23/11/2015,29/11/2015,13,610.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
234,IT,Italy,16/11/2015,22/11/2015,12,610.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
235,IT,Italy,25/04/2016,01/05/2016,35,580.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
236,IT,Italy,28/03/2016,03/04/2016,31,600.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
237,IT,Italy,08/02/2016,14/02/2016,24,600.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
238,IT,Italy,01/02/2016,07/02/2016,23,600.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
239,IT,Italy,25/01/2016,31/01/2016,22,600.0,Tonne,2015/2016,Milled non parboiled,Indica,Thaibonnet
240,IT,Italy,29/08/2016,04/09/2016,1,620.0,Tonne,2016/2017,Milled non parboiled,Indica,Thaibonnet
241,IT,Italy,21/11/2016,27/11/2016,13,580.0,Tonne,2016/2017,Milled non parboiled,Indica,Thaibonnet
242,IT,Italy,20/03/2017,26/03/2017,30,550.0,Tonne,2016/2017,Milled non parboiled,Indica,Thaibonnet
243,IT,Italy,13/03/2017,19/03/2017,29,550.0,Tonne,2016/2017,Milled non parboiled,Indica,Thaibonnet
244,IT,Italy,18/04/2016,24/04/2016,34,1600.0,Tonne,2015/2016,Milled non parboiled,Japonica,Arborio
245,IT,Italy,20/03/2017,26/03/2017,30,900.0,Tonne,2016/2017,Milled non parboiled,Japonica,Arborio
246,IT,Italy,13/06/2016,19/06/2016,42,1520.0,Tonne,2015/2016,Milled non parboiled,Japonica,Arborio
247,IT,Italy,12/12/2016,18/12/2016,16,1035.0,Tonne,2016/2017,Milled non parboiled,Japonica,Arborio
248,IT,Italy,09/01/2017,15/01/2017,20,1000.0,Tonne,2016/2017,Milled non parboiled,Japonica,Arborio
249,IT,Italy,01/02/2016,07/02/2016,23,1600.0,Tonne,2015/2016,Milled non parboiled,Japonica,Arborio
250,IT,Italy,29/02/2016,06/03/2016,27,1520.0,Tonne,2015/2016,Milled non parboiled,Japonica,Arborio
251,IT,Italy,22/08/2016,28/08/2016,52,750.0,Tonne,2015/2016,Milled non parboiled,Japonica,Augusto
253,IT,Italy,17/02/2003,23/02/2003,25,550.0,Tonne,2002/2003,Milled,Japonica,Lido
254,IT,Italy,10/02/2003,16/02/2003,24,550.0,Tonne,2002/2003,Milled,Japonica,Lido
255,IT,Italy,25/06/2001,01/07/2001,43,573.27,Tonne,2000/2001,Milled,Japonica,Lido
256,IT,Italy,07/01/2002,13/01/2002,19,584.0,Tonne,2001/2002,Milled,Japonica,Lido
257,IT,Italy,10/12/2001,16/12/2001,15,578.43,Tonne,2001/2002,Milled,Japonica,Lido
258,IT,Italy,18/12/2000,24/12/2000,16,562.94,Tonne,2000/2001,Milled,Japonica,Lido
259,IT,Italy,07/05/2001,13/05/2001,36,588.76,Tonne,2000/2001,Milled,Japonica,Lido
260,IT,Italy,02/04/2001,08/04/2001,31,588.76,Tonne,2000/2001,Milled,Japonica,Lido
261,IT,Italy,23/10/2000,29/10/2000,8,552.61,Tonne,2000/2001,Milled,Japonica,Lido
262,IT,Italy,30/06/2003,06/07/2003,44,540.0,Tonne,2002/2003,Milled,Japonica,Lido
263,IT,Italy,12/01/2004,18/01/2004,20,545.0,Tonne,2003/2004,Milled,Japonica,Lido
264,IT,Italy,13/01/2003,19/01/2003,20,550.0,Tonne,2002/2003,Milled,Japonica,Lido
265,IT,Italy,14/04/2003,20/04/2003,33,545.0,Tonne,2002/2003,Milled,Japonica,Lido
266,IT,Italy,22/04/2002,28/04/2002,34,589.0,Tonne,2001/2002,Milled,Japonica,Lido
267,IT,Italy,25/03/2002,31/03/2002,30,589.0,Tonne,2001/2002,Milled,Japonica,Lido
268,IT,Italy,18/11/2002,24/11/2002,12,550.0,Tonne,2002/2003,Milled,Japonica,Lido
269,IT,Italy,22/07/2002,28/07/2002,47,579.0,Tonne,2001/2002,Milled,Japonica,Lido
270,IT,Italy,23/05/2005,29/05/2005,39,425.0,Tonne,2004/2005,Milled,Japonica,Lido
271,IT,Italy,19/07/2004,25/07/2004,47,535.0,Tonne,2003/2004,Milled,Japonica,Lido
272,IT,Italy,28/06/2004,04/07/2004,44,535.0,Tonne,2003/2004,Milled,Japonica,Lido
273,IT,Italy,14/06/2004,20/06/2004,42,535.0,Tonne,2003/2004,Milled,Japonica,Lido
274,IT,Italy,20/12/2004,26/12/2004,17,420.0,Tonne,2004/2005,Milled,Japonica,Lido
275,IT,Italy,10/11/2003,16/11/2003,11,545.0,Tonne,2003/2004,Milled,Japonica,Lido
276,IT,Italy,03/11/2003,09/11/2003,10,545.0,Tonne,2003/2004,Milled,Japonica,Lido
277,IT,Italy,11/12/2006,17/12/2006,15,610.0,Tonne,2006/2007,Milled,Japonica,Lido
278,IT,Italy,09/01/2006,15/01/2006,20,480.0,Tonne,2005/2006,Milled,Japonica,Lido
279,IT,Italy,26/12/2005,01/01/2006,18,475.0,Tonne,2005/2006,Milled,Japonica,Lido
280,IT,Italy,14/11/2005,20/11/2005,12,455.0,Tonne,2005/2006,Milled,Japonica,Lido
281,IT,Italy,07/11/2005,13/11/2005,11,445.0,Tonne,2005/2006,Milled,Japonica,Lido
282,IT,Italy,01/05/2006,07/05/2006,36,582.0,Tonne,2005/2006,Milled,Japonica,Lido
283,IT,Italy,02/05/2005,08/05/2005,36,420.0,Tonne,2004/2005,Milled,Japonica,Lido
284,IT,Italy,11/04/2005,17/04/2005,33,405.0,Tonne,2004/2005,Milled,Japonica,Lido
285,IT,Italy,26/11/2007,02/12/2007,13,605.0,Tonne,2007/2008,Milled,Japonica,Lido
286,IT,Italy,30/04/2007,06/05/2007,35,565.0,Tonne,2006/2007,Milled,Japonica,Lido
287,IT,Italy,02/04/2007,08/04/2007,31,555.0,Tonne,2006/2007,Milled,Japonica,Lido
288,IT,Italy,28/08/2006,03/09/2006,53,610.0,Tonne,2005/2006,Milled,Japonica,Lido
289,IT,Italy,12/02/2007,18/02/2007,24,610.0,Tonne,2006/2007,Milled,Japonica,Lido
290,IT,Italy,03/08/2009,09/08/2009,49,800.0,Tonne,2008/2009,Milled,Japonica,Lido
291,IT,Italy,09/02/2009,15/02/2009,24,1000.0,Tonne,2008/2009,Milled,Japonica,Lido
292,IT,Italy,19/01/2009,25/01/2009,21,970.0,Tonne,2008/2009,Milled,Japonica,Lido
293,IT,Italy,13/10/2008,19/10/2008,7,1010.0,Tonne,2008/2009,Milled,Japonica,Lido
294,IT,Italy,15/09/2008,21/09/2008,3,1010.0,Tonne,2008/2009,Milled,Japonica,Lido
295,IT,Italy,14/07/2008,20/07/2008,46,1010.0,Tonne,2007/2008,Milled,Japonica,Lido
296,IT,Italy,07/07/2008,13/07/2008,45,1010.0,Tonne,2007/2008,Milled,Japonica,Lido
297,IT,Italy,25/02/2008,02/03/2008,26,640.0,Tonne,2007/2008,Milled,Japonica,Lido
298,IT,Italy,04/02/2008,10/02/2008,23,620.0,Tonne,2007/2008,Milled,Japonica,Lido
299,IT,Italy,10/01/2011,16/01/2011,20,730.0,Tonne,2010/2011,Milled,Japonica,Lido
300,IT,Italy,24/05/2010,30/05/2010,39,570.0,Tonne,2009/2010,Milled,Japonica,Lido
301,IT,Italy,22/11/2010,28/11/2010,13,710.0,Tonne,2010/2011,Milled,Japonica,Lido
302,IT,Italy,29/03/2010,04/04/2010,31,625.0,Tonne,2009/2010,Milled,Japonica,Lido
303,IT,Italy,22/03/2010,28/03/2010,30,625.0,Tonne,2009/2010,Milled,Japonica,Lido
304,IT,Italy,28/06/2010,04/07/2010,44,582.0,Tonne,2009/2010,Milled,Japonica,Lido
305,IT,Italy,14/06/2010,20/06/2010,42,570.0,Tonne,2009/2010,Milled,Japonica,Lido
306,IT,Italy,02/11/2009,08/11/2009,10,710.0,Tonne,2009/2010,Milled,Japonica,Lido
307,IT,Italy,25/01/2010,31/01/2010,22,710.0,Tonne,2009/2010,Milled,Japonica,Lido
308,IT,Italy,25/05/2009,31/05/2009,39,925.0,Tonne,2008/2009,Milled,Japonica,Lido
309,IT,Italy,27/04/2009,03/05/2009,35,965.0,Tonne,2008/2009,Milled,Japonica,Lido
310,IT,Italy,13/04/2009,19/04/2009,33,965.0,Tonne,2008/2009,Milled,Japonica,Lido
311,IT,Italy,05/10/2009,11/10/2009,6,700.0,Tonne,2009/2010,Milled,Japonica,Lido
312,IT,Italy,31/08/2009,06/09/2009,1,780.0,Tonne,2009/2010,Milled,Japonica,Lido
313,IT,Italy,09/04/2012,15/04/2012,33,660.0,Tonne,2011/2012,Milled,Japonica,Lido
314,IT,Italy,14/11/2011,20/11/2011,12,760.0,Tonne,2011/2012,Milled,Japonica,Lido
315,IT,Italy,07/11/2011,13/11/2011,11,760.0,Tonne,2011/2012,Milled,Japonica,Lido
316,IT,Italy,13/02/2012,19/02/2012,25,700.0,Tonne,2011/2012,Milled,Japonica,Lido
317,IT,Italy,23/01/2012,29/01/2012,22,730.0,Tonne,2011/2012,Milled,Japonica,Lido
318,IT,Italy,26/12/2011,01/01/2012,18,730.0,Tonne,2011/2012,Milled,Japonica,Lido
319,IT,Italy,01/08/2011,07/08/2011,49,660.0,Tonne,2010/2011,Milled,Japonica,Lido
320,IT,Italy,30/05/2011,05/06/2011,40,770.0,Tonne,2010/2011,Milled,Japonica,Lido
321,IT,Italy,29/11/2010,05/12/2010,14,710.0,Tonne,2010/2011,Milled,Japonica,Lido
322,IT,Italy,21/02/2011,27/02/2011,26,830.0,Tonne,2010/2011,Milled,Japonica,Lido
323,IT,Italy,07/02/2011,13/02/2011,24,780.0,Tonne,2010/2011,Milled,Japonica,Lido
324,IT,Italy,08/11/2010,14/11/2010,11,700.0,Tonne,2010/2011,Milled,Japonica,Lido
325,IT,Italy,24/01/2011,30/01/2011,22,760.0,Tonne,2010/2011,Milled,Japonica,Lido
326,IT,Italy,17/01/2011,23/01/2011,21,760.0,Tonne,2010/2011,Milled,Japonica,Lido
327,IT,Italy,07/01/2013,13/01/2013,19,590.0,Tonne,2012/2013,Milled,Japonica,Lido
328,IT,Italy,01/07/2013,07/07/2013,44,600.0,Tonne,2012/2013,Milled,Japonica,Lido
329,IT,Italy,16/09/2013,22/09/2013,3,600.0,Tonne,2013/2014,Milled,Japonica,Lido
330,IT,Italy,15/04/2013,21/04/2013,33,560.0,Tonne,2012/2013,Milled,Japonica,Lido
331,IT,Italy,20/05/2013,26/05/2013,38,560.0,Tonne,2012/2013,Milled,Japonica,Lido
332,IT,Italy,25/03/2013,31/03/2013,30,560.0,Tonne,2012/2013,Milled,Japonica,Lido
333,IT,Italy,04/03/2013,10/03/2013,27,570.0,Tonne,2012/2013,Milled,Japonica,Lido
334,IT,Italy,18/02/2013,24/02/2013,25,580.0,Tonne,2012/2013,Milled,Japonica,Lido
335,IT,Italy,24/03/2014,30/03/2014,30,740.0,Tonne,2013/2014,Milled,Japonica,Lido
336,IT,Italy,05/08/2013,11/08/2013,49,600.0,Tonne,2012/2013,Milled,Japonica,Lido
337,IT,Italy,08/09/2014,14/09/2014,2,720.0,Tonne,2014/2015,Milled,Japonica,Lido
362,IT,Italy,20/10/2014,26/10/2014,8,600.0,Tonne,2014/2015,Milled,Japonica,Ribe
363,IT,Italy,15/06/2015,21/06/2015,42,730.0,Tonne,2014/2015,Milled,Japonica,Ribe
364,IT,Italy,20/04/2015,26/04/2015,34,750.0,Tonne,2014/2015,Milled,Japonica,Ribe
365,IT,Italy,26/01/2015,01/02/2015,22,750.0,Tonne,2014/2015,Milled,Japonica,Ribe
382,IT,Italy,15/01/2001,21/01/2001,20,542.28,Tonne,2000/2001,Milled,Japonica,Rond
383,IT,Italy,08/01/2001,14/01/2001,19,542.28,Tonne,2000/2001,Milled,Japonica,Rond
384,IT,Italy,23/04/2001,29/04/2001,34,547.44,Tonne,2000/2001,Milled,Japonica,Rond
385,IT,Italy,27/08/2001,02/09/2001,52,526.79,Tonne,2000/2001,Milled,Japonica,Rond
386,IT,Italy,18/06/2001,24/06/2001,42,537.12,Tonne,2000/2001,Milled,Japonica,Rond
387,IT,Italy,25/02/2002,03/03/2002,26,543.0,Tonne,2001/2002,Milled,Japonica,Rond
388,IT,Italy,28/01/2002,03/02/2002,22,543.0,Tonne,2001/2002,Milled,Japonica,Rond
389,IT,Italy,17/12/2001,23/12/2001,16,542.28,Tonne,2001/2002,Milled,Japonica,Rond
390,IT,Italy,10/12/2001,16/12/2001,15,531.95,Tonne,2001/2002,Milled,Japonica,Rond
391,IT,Italy,17/06/2002,23/06/2002,42,543.0,Tonne,2001/2002,Milled,Japonica,Rond
392,IT,Italy,01/04/2002,07/04/2002,31,543.0,Tonne,2001/2002,Milled,Japonica,Rond
393,IT,Italy,18/03/2002,24/03/2002,29,543.0,Tonne,2001/2002,Milled,Japonica,Rond
394,IT,Italy,10/02/2003,16/02/2003,24,530.0,Tonne,2002/2003,Milled,Japonica,Rond
395,IT,Italy,03/02/2003,09/02/2003,23,530.0,Tonne,2002/2003,Milled,Japonica,Rond
396,IT,Italy,12/05/2003,18/05/2003,37,525.0,Tonne,2002/2003,Milled,Japonica,Rond
397,IT,Italy,24/03/2003,30/03/2003,30,525.0,Tonne,2002/2003,Milled,Japonica,Rond
398,IT,Italy,28/07/2003,03/08/2003,48,525.0,Tonne,2002/2003,Milled,Japonica,Rond
399,IT,Italy,23/06/2003,29/06/2003,43,515.0,Tonne,2002/2003,Milled,Japonica,Rond
400,IT,Italy,19/01/2004,25/01/2004,21,465.0,Tonne,2003/2004,Milled,Japonica,Rond
401,IT,Italy,08/12/2003,14/12/2003,15,465.0,Tonne,2003/2004,Milled,Japonica,Rond
402,IT,Italy,29/03/2004,04/04/2004,31,430.0,Tonne,2003/2004,Milled,Japonica,Rond
403,IT,Italy,15/03/2004,21/03/2004,29,425.0,Tonne,2003/2004,Milled,Japonica,Rond
404,IT,Italy,28/06/2004,04/07/2004,44,475.0,Tonne,2003/2004,Milled,Japonica,Rond
405,IT,Italy,14/06/2004,20/06/2004,42,475.0,Tonne,2003/2004,Milled,Japonica,Rond
406,IT,Italy,07/06/2004,13/06/2004,41,455.0,Tonne,2003/2004,Milled,Japonica,Rond
407,IT,Italy,01/11/2004,07/11/2004,10,420.0,Tonne,2004/2005,Milled,Japonica,Rond
408,IT,Italy,30/08/2004,05/09/2004,1,475.0,Tonne,2004/2005,Milled,Japonica,Rond
409,IT,Italy,07/02/2005,13/02/2005,24,420.0,Tonne,2004/2005,Milled,Japonica,Rond
410,IT,Italy,03/01/2005,09/01/2005,19,420.0,Tonne,2004/2005,Milled,Japonica,Rond
411,IT,Italy,07/11/2005,13/11/2005,11,425.0,Tonne,2005/2006,Milled,Japonica,Rond
412,IT,Italy,25/07/2005,31/07/2005,48,429.0,Tonne,2004/2005,Milled,Japonica,Rond
413,IT,Italy,27/02/2006,05/03/2006,27,515.0,Tonne,2005/2006,Milled,Japonica,Rond
414,IT,Italy,12/02/2007,18/02/2007,24,560.0,Tonne,2006/2007,Milled,Japonica,Rond
415,IT,Italy,11/06/2007,17/06/2007,41,470.0,Tonne,2006/2007,Milled,Japonica,Rond
416,IT,Italy,21/05/2007,27/05/2007,38,495.0,Tonne,2006/2007,Milled,Japonica,Rond
417,IT,Italy,07/05/2007,13/05/2007,36,490.0,Tonne,2006/2007,Milled,Japonica,Rond
418,IT,Italy,30/04/2007,06/05/2007,35,490.0,Tonne,2006/2007,Milled,Japonica,Rond
419,IT,Italy,16/04/2007,22/04/2007,33,490.0,Tonne,2006/2007,Milled,Japonica,Rond
420,IT,Italy,27/08/2007,02/09/2007,52,450.0,Tonne,2006/2007,Milled,Japonica,Rond
421,IT,Italy,20/08/2007,26/08/2007,51,450.0,Tonne,2006/2007,Milled,Japonica,Rond
422,IT,Italy,31/12/2007,06/01/2008,18,560.0,Tonne,2007/2008,Milled,Japonica,Rond
423,IT,Italy,29/10/2007,04/11/2007,9,555.0,Tonne,2007/2008,Milled,Japonica,Rond
424,IT,Italy,04/02/2008,10/02/2008,23,560.0,Tonne,2007/2008,Milled,Japonica,Rond
425,IT,Italy,28/01/2008,03/02/2008,22,560.0,Tonne,2007/2008,Milled,Japonica,Rond
426,IT,Italy,02/06/2008,08/06/2008,40,930.0,Tonne,2007/2008,Milled,Japonica,Rond
427,IT,Italy,04/08/2008,10/08/2008,49,980.0,Tonne,2007/2008,Milled,Japonica,Rond
428,IT,Italy,28/07/2008,03/08/2008,48,980.0,Tonne,2007/2008,Milled,Japonica,Rond
429,IT,Italy,29/12/2008,04/01/2009,18,835.0,Tonne,2008/2009,Milled,Japonica,Rond
430,IT,Italy,24/11/2008,30/11/2008,13,805.0,Tonne,2008/2009,Milled,Japonica,Rond
431,IT,Italy,17/11/2008,23/11/2008,12,805.0,Tonne,2008/2009,Milled,Japonica,Rond
432,IT,Italy,27/10/2008,02/11/2008,9,860.0,Tonne,2008/2009,Milled,Japonica,Rond
433,IT,Italy,06/04/2009,12/04/2009,32,920.0,Tonne,2008/2009,Milled,Japonica,Rond
434,IT,Italy,05/10/2009,11/10/2009,6,540.0,Tonne,2009/2010,Milled,Japonica,Rond
435,IT,Italy,27/07/2009,02/08/2009,48,850.0,Tonne,2008/2009,Milled,Japonica,Rond
436,IT,Italy,13/07/2009,19/07/2009,46,850.0,Tonne,2008/2009,Milled,Japonica,Rond
437,IT,Italy,09/11/2009,15/11/2009,11,620.0,Tonne,2009/2010,Milled,Japonica,Rond
438,IT,Italy,05/04/2010,11/04/2010,32,510.0,Tonne,2009/2010,Milled,Japonica,Rond
439,IT,Italy,08/03/2010,14/03/2010,28,530.0,Tonne,2009/2010,Milled,Japonica,Rond
440,IT,Italy,06/09/2010,12/09/2010,2,530.0,Tonne,2010/2011,Milled,Japonica,Rond
441,IT,Italy,25/10/2010,31/10/2010,9,600.0,Tonne,2010/2011,Milled,Japonica,Rond
442,IT,Italy,20/12/2010,26/12/2010,17,650.0,Tonne,2010/2011,Milled,Japonica,Rond
443,IT,Italy,28/02/2011,06/03/2011,27,810.0,Tonne,2010/2011,Milled,Japonica,Rond
444,IT,Italy,21/02/2011,27/02/2011,26,800.0,Tonne,2010/2011,Milled,Japonica,Rond
445,IT,Italy,16/05/2011,22/05/2011,38,750.0,Tonne,2010/2011,Milled,Japonica,Rond
446,IT,Italy,27/06/2011,03/07/2011,44,650.0,Tonne,2010/2011,Milled,Japonica,Rond
447,IT,Italy,25/07/2011,31/07/2011,48,620.0,Tonne,2010/2011,Milled,Japonica,Rond
448,IT,Italy,05/12/2011,11/12/2011,15,670.0,Tonne,2011/2012,Milled,Japonica,Rond
449,IT,Italy,23/01/2012,29/01/2012,22,670.0,Tonne,2011/2012,Milled,Japonica,Rond
450,IT,Italy,16/01/2012,22/01/2012,21,670.0,Tonne,2011/2012,Milled,Japonica,Rond
451,IT,Italy,26/03/2012,01/04/2012,31,630.0,Tonne,2011/2012,Milled,Japonica,Rond
452,IT,Italy,28/05/2012,03/06/2012,40,590.0,Tonne,2011/2012,Milled,Japonica,Rond
453,IT,Italy,27/08/2012,02/09/2012,53,610.0,Tonne,2011/2012,Milled,Japonica,Rond
454,IT,Italy,12/11/2012,18/11/2012,11,620.0,Tonne,2012/2013,Milled,Japonica,Rond
455,IT,Italy,10/12/2012,16/12/2012,15,600.0,Tonne,2012/2013,Milled,Japonica,Rond
456,IT,Italy,04/02/2013,10/02/2013,23,580.0,Tonne,2012/2013,Milled,Japonica,Rond
457,IT,Italy,15/04/2013,21/04/2013,33,560.0,Tonne,2012/2013,Milled,Japonica,Rond
458,IT,Italy,30/12/2013,05/01/2014,18,550.0,Tonne,2013/2014,Milled,Japonica,Rond
459,IT,Italy,16/12/2013,22/12/2013,16,550.0,Tonne,2013/2014,Milled,Japonica,Rond
460,IT,Italy,09/12/2013,15/12/2013,15,550.0,Tonne,2013/2014,Milled,Japonica,Rond
461,IT,Italy,03/03/2014,09/03/2014,27,550.0,Tonne,2013/2014,Milled,Japonica,Rond
